Plot Name,species/cover,%cover,Date ,Monitors,Year
C3,Thatch,2,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C3,Brachypodium distachyon,10,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C4,Festuca perennis,85,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C4,Medicago polymorpha,10,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C4,Thatch,5,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C4,Hordeum brachyantherum,1,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C4,Stipa pulchra,1,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C4,Bromus hordeaceus,1,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C5,Festuca perennis,90,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C5,Medicago polymorpha,25,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C6,Medicago polymorpha,20,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C6,Avena fatua,1,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C6,Festuca perennis,80,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C6,Bromus diandrus,2,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C6,Stipa pulchra,20,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C6,Bromus hordeaceus,1,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C7,Festuca perennis,50,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C7,Melilotus indicus,30,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C7,Medicago polymorpha,20,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C7,Stipa pulchra,3,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C7,Bromus diandrus,2,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C7,Festuca myuros,1,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C7,Brachypodium distachyon,2,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C7,Bromus hordeaceus,5,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C7,Plantago lanceolata,1,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C8,Medicago polymorpha,80,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C8,Festuca perennis,20,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C8,Melilotus indicus,7,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C8,Plantago lanceolata,1,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C8,Thatch,1,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C8,Bromus diandrus,1,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C9,Medicago polymorpha,80,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C9,Brachypodium distachyon,2,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C9,Stipa pulchra,70,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C9,Vicia sativa,1,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C9,Avena fatua,1,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C10,Festuca perennis,70,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C10,Stipa pulchra,30,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C10,Avena fatua,1,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C10,Bromus diandrus,1,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C10,Bromus hordeaceus,2,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C10,Festuca myuros,1,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
C10,Plantago coronopus,1,5/24,"NS, JM, SJ, MJ, EP",2024 (After Fire)
CLAY1,Festuca perennis,30,5/21,NS,2024 (After Fire)
CLAY1,Melilotus indicus,20,5/21,NS,2024 (After Fire)
CLAY1,Madia sativa,1,5/21,NS,2024 (After Fire)
CLAY1,Bromus diandrus,1,5/21,NS,2024 (After Fire)
CLAY1,Navarretia squarrosa,1,5/21,NS,2024 (After Fire)
CLAY1,Bromus hordeaceus,5,5/21,NS,2024 (After Fire)
CLAY1,Sonchus sp.,1,5/21,NS,2024 (After Fire)
CLAY1,Clarkia purpurea,1,5/21,NS,2024 (After Fire)
CLAY1,Medicago lupulina,2,5/21,NS,2024 (After Fire)
CLAY1,Lysimachia arvensis,1,5/21,NS,2024 (After Fire)
CLAY1,Medicago polymorpha,30,5/21,NS,2024 (After Fire)
CLAY1,Festuca myuros,15,5/21,NS,2024 (After Fire)
CLAY1,Deinandra fasciculata,1,5/21,NS,2024 (After Fire)
CLAY1,Stipa pulchra,4,5/21,NS,2024 (After Fire)
CLAY1,Bareground,10,5/21,NS,2024 (After Fire)
CLAY2,Clarkia purpurea,1,5/20,"NS, JM",2024 (After Fire)
CLAY2,Stebbinsoseris heterocarpa,1,5/20,"NS, JM",2024 (After Fire)
CLAY2,Polypogon monspeliensis,75,5/20,"NS, JM",2024 (After Fire)
CLAY2,Trifolium tomentosum,55,5/20,"NS, JM",2024 (After Fire)
CLAY2,Festuca perennis,40,5/20,"NS, JM",2024 (After Fire)
CLAY2,Bromus hordeaceus,1,5/20,"NS, JM",2024 (After Fire)
CLAY2,Juncus bufonius,1,5/20,"NS, JM",2024 (After Fire)
CLAY2,Medicago polymorpha,1,5/20,"NS, JM",2024 (After Fire)
CLAY2,Helminthotheca echioides,1,5/20,"NS, JM",2024 (After Fire)
CLAY2,Epilobium brachycarpum,1,5/20,"NS, JM",2024 (After Fire)
CLAY2,Festuca myuros,2,5/20,"NS, JM",2024 (After Fire)
CLAY3,Polypogon monspeliensis,22,5/20,"NS, JM",2024 (After Fire)
CLAY3,Festuca perennis,35,5/20,"NS, JM",2024 (After Fire)
CLAY3,Melilotus indicus,10,5/20,"NS, JM",2024 (After Fire)
CLAY3,Stipa pulchra,1,5/20,"NS, JM",2024 (After Fire)
CLAY3,Festuca myuros,3,5/20,"NS, JM",2024 (After Fire)
CLAY3,Hordeum brachyantherum,3,5/20,"NS, JM",2024 (After Fire)
CLAY3,Bromus hordeaceus,1,5/20,"NS, JM",2024 (After Fire)
CLAY3,Madia sativa,2,5/20,"NS, JM",2024 (After Fire)
CLAY3,Clarkia purpurea,1,5/20,"NS, JM",2024 (After Fire)
CLAY3,Juncus bufonius,3,5/20,"NS, JM",2024 (After Fire)
CLAY3,Navarretia squarrosa,1,5/20,"NS, JM",2024 (After Fire)
CLAY3,Stebbinsoseris heterocarpa,1,5/20,"NS, JM",2024 (After Fire)
CLAY3,Acmispon americanus,2,5/20,"NS, JM",2024 (After Fire)
CLAY3,Centaurium tenuiflorum,2,5/20,"NS, JM",2024 (After Fire)
CLAY3,Erigeron canadensis,1,5/20,"NS, JM",2024 (After Fire)
CLAY3,Plantago erecta,1,5/20,"NS, JM",2024 (After Fire)
CLAY3,Symphyotrichum subulatum var. parviflorum,1,5/20,"NS, JM",2024 (After Fire)
CLAY3,Deinandra fasciculata,1,5/20,"NS, JM",2024 (After Fire)
CLAY3,Spergularia sp.,1,5/20,"NS, JM",2024 (After Fire)
CLAY3,Heterotheca grandiflora,1,5/20,"NS, JM",2024 (After Fire)
CLAY3,Baccharis pilularis,1,5/20,"NS, JM",2024 (After Fire)
CLAY3,Bareground,25,5/20,"NS, JM",2024 (After Fire)
CLAY4,Stipa pulchra,2,5/24,NS,2024 (After Fire)
CLAY4,Symphyotrichum subulatum var. parviflorum,1,5/24,NS,2024 (After Fire)
CLAY4,Plantago coronopus,1,5/24,NS,2024 (After Fire)
CLAY4,Festuca myuros,1,5/24,NS,2024 (After Fire)
CLAY4,Stebbinsoseris heterocarpa,1,5/24,NS,2024 (After Fire)
CLAY4,Festuca perennis,20,5/24,NS,2024 (After Fire)
CLAY4,Juncus bufonius,40,5/24,NS,2024 (After Fire)
CLAY4,Epilobium brachycarpum,1,5/24,NS,2024 (After Fire)
CLAY4,Logfia gallica,1,5/24,NS,2024 (After Fire)
CLAY4,Polypogon monspeliensis,50,5/24,NS,2024 (After Fire)
CLAY4,Trifolium tomentosum,25,5/24,NS,2024 (After Fire)
CLAY4,Helminthotheca echioides,1,5/24,NS,2024 (After Fire)
CLAY5,Juncus bufonius,30,5/24,NS,2024 (After Fire)
CLAY5,Trifolium tomentosum,18,5/24,NS,2024 (After Fire)
CLAY5,Lysimachia arvensis,1,5/24,NS,2024 (After Fire)
CLAY5,Medicago polymorpha,3,5/24,NS,2024 (After Fire)
CLAY5,Madia sativa,1,5/24,NS,2024 (After Fire)
CLAY5,Bareground,2,5/24,NS,2024 (After Fire)
CLAY5,Melilotus indicus,25,5/24,NS,2024 (After Fire)
CLAY5,Clarkia purpurea,1,5/24,NS,2024 (After Fire)
CLAY5,Stipa pulchra,1,5/24,NS,2024 (After Fire)
CLAY5,Acmispon americanus,1,5/24,NS,2024 (After Fire)
CLAY5,Centaurium tenuiflorum,1,5/24,NS,2024 (After Fire)
CLAY5,Festuca myuros,7,5/24,NS,2024 (After Fire)
CLAY5,Polypogon monspeliensis,10,5/24,NS,2024 (After Fire)
CLAY5,Bromus hordeaceus,2,5/24,NS,2024 (After Fire)
CLAY5,Calandrinia menziesii,1,5/24,NS,2024 (After Fire)
CLAY5,Festuca perennis,10,5/24,NS,2024 (After Fire)
CLAY6,Stipa pulchra,2,5/24,NS,2024 (After Fire)
CLAY6,Helminthotheca echioides,1,5/24,NS,2024 (After Fire)
CLAY6,Sonchus sp.,1,5/24,NS,2024 (After Fire)
CLAY6,Juncus bufonius,5,5/24,NS,2024 (After Fire)
CLAY6,Lysimachia arvensis,1,5/24,NS,2024 (After Fire)
CLAY6,Polypogon interruptus,1,5/24,NS,2024 (After Fire)
CLAY6,Polypogon monspeliensis,55,5/24,NS,2024 (After Fire)
CLAY6,Melilotus indicus,3,5/24,NS,2024 (After Fire)
CLAY6,Festuca perennis,8,5/24,NS,2024 (After Fire)
CLAY6,Symphyotrichum subulatum var. parviflorum,1,5/24,NS,2024 (After Fire)
CLAY6,Bromus diandrus,1,5/24,NS,2024 (After Fire)
CLAY6,Epilobium brachycarpum,1,5/24,NS,2024 (After Fire)
CLAY6,Bareground,22,5/24,NS,2024 (After Fire)
CLAY6,Centaurium tenuiflorum,4,5/24,NS,2024 (After Fire)
CLAY6,Festuca myuros,2,5/24,NS,2024 (After Fire)
CLAY6,Erigeron canadensis,1,5/24,NS,2024 (After Fire)
CLAY6,Trifolium tomentosum,1,5/24,NS,2024 (After Fire)
CLAY7,Bromus hordeaceus,35,5/24,NS,2024 (After Fire)
CLAY7,Melilotus indicus,13,5/24,NS,2024 (After Fire)
CLAY7,Stebbinsoseris heterocarpa,1,5/24,NS,2024 (After Fire)
CLAY7,Deinandra fasciculata,1,5/24,NS,2024 (After Fire)
CLAY7,Bromus diandrus,1,5/24,NS,2024 (After Fire)
CLAY7,Festuca perennis,25,5/24,NS,2024 (After Fire)
CLAY7,Stipa pulchra,8,5/24,NS,2024 (After Fire)
CLAY7,Acmispon americanus,4,5/24,NS,2024 (After Fire)
CLAY7,Lysimachia arvensis,3,5/24,NS,2024 (After Fire)
CLAY7,Festuca myuros,1,5/24,NS,2024 (After Fire)
CLAY7,Centaurium tenuiflorum,2,5/24,NS,2024 (After Fire)
CLAY7,Sonchus sp.,1,5/24,NS,2024 (After Fire)
CLAY7,Madia sativa,3,5/24,NS,2024 (After Fire)
CLAY7,Bareground,15,5/24,NS,2024 (After Fire)
CLAY8,Stebbinsoseris heterocarpa,1,5/24,NS,2024 (After Fire)
CLAY8,Navarretia squarrosa,1,5/24,NS,2024 (After Fire)
CLAY8,Baccharis pilularis,1,5/24,NS,2024 (After Fire)
CLAY8,Sonchus sp.,1,5/24,NS,2024 (After Fire)
CLAY8,Pseudognaphalium luteoalbum,1,5/24,NS,2024 (After Fire)
CLAY8,Madia sativa,5,5/24,NS,2024 (After Fire)
CLAY8,Juncus bufonius,30,5/24,NS,2024 (After Fire)
CLAY8,Clarkia purpurea,1,5/24,NS,2024 (After Fire)
CLAY8,Bareground,15,5/24,NS,2024 (After Fire)
CLAY8,Polypogon monspeliensis,1,5/24,NS,2024 (After Fire)
CLAY8,Deinandra fasciculata,1,5/24,NS,2024 (After Fire)
CLAY8,Symphyotrichum subulatum var. parviflorum,1,5/24,NS,2024 (After Fire)
CLAY8,Festuca perennis,50,5/24,NS,2024 (After Fire)
CLAY8,Centaurium tenuiflorum,1,5/24,NS,2024 (After Fire)
CLAY8,Bromus hordeaceus,2,5/24,NS,2024 (After Fire)
CLAY9,Stebbinsoseris heterocarpa,1,5/24,NS,2024 (After Fire)
CLAY9,Medicago polymorpha,10,5/24,NS,2024 (After Fire)
CLAY9,Festuca perennis,20,5/24,NS,2024 (After Fire)
CLAY9,Melilotus indicus,33,5/24,NS,2024 (After Fire)
CLAY9,Bromus hordeaceus,1,5/24,NS,2024 (After Fire)
CLAY9,Stipa pulchra,20,5/24,NS,2024 (After Fire)
CLAY9,Bareground,15,5/24,NS,2024 (After Fire)
CLAY9,Vicia villosa,5,5/24,NS,2024 (After Fire)
CLAY9,Hordeum marinum,1,5/24,NS,2024 (After Fire)
CLAY9,Sonchus sp.,1,5/24,NS,2024 (After Fire)
CLAY10,Melilotus indicus,90,5/21,"NS, LF, MJ, EP",2024 (After Fire)
CLAY10,Medicago polymorpha,5,5/21,"NS, LF, MJ, EP",2024 (After Fire)
CLAY10,Madia sativa,1,5/21,"NS, LF, MJ, EP",2024 (After Fire)
CLAY10,Stebbinsoseris heterocarpa,1,5/21,"NS, LF, MJ, EP",2024 (After Fire)
CLAY10,Festuca perennis,30,5/21,"NS, LF, MJ, EP",2024 (After Fire)
CLAY10,Centaurium tenuiflorum,1,5/21,"NS, LF, MJ, EP",2024 (After Fire)
CLAY10,Bromus hordeaceus,1,5/21,"NS, LF, MJ, EP",2024 (After Fire)
CLAY10,Hordeum marinum,1,5/21,"NS, LF, MJ, EP",2024 (After Fire)
CLAY11,Melilotus indicus,24,5/21,"NS, LF, MJ, EP",2024 (After Fire)
CLAY11,Festuca perennis,73,5/21,"NS, LF, MJ, EP",2024 (After Fire)
CLAY11,Thatch,3,5/21,"NS, LF, MJ, EP",2024 (After Fire)
CLAY11,Lysimachia arvensis,1,5/21,"NS, LF, MJ, EP",2024 (After Fire)
CLAY11,Bromus hordeaceus,1,5/21,"NS, LF, MJ, EP",2024 (After Fire)
CLAY11,Centaurium tenuiflorum,1,5/21,"NS, LF, MJ, EP",2024 (After Fire)
CLAY11,Erigeron canadensis,1,5/21,"NS, LF, MJ, EP",2024 (After Fire)
CLAY11,Polypogon monspeliensis,1,5/21,"NS, LF, MJ, EP",2024 (After Fire)
CLAY12,Festuca perennis,75,5/21,"NS, LF, MJ, EP",2024 (After Fire)
CLAY12,Melilotus indicus,15,5/21,"NS, LF, MJ, EP",2024 (After Fire)
CLAY12,Polypogon monspeliensis,1,5/21,"NS, LF, MJ, EP",2024 (After Fire)
CLAY12,Stebbinsoseris heterocarpa,1,5/21,"NS, LF, MJ, EP",2024 (After Fire)
CLAY12,Navarretia squarrosa,1,5/21,"NS, LF, MJ, EP",2024 (After Fire)
CLAY12,Bromus hordeaceus,4,5/21,"NS, LF, MJ, EP",2024 (After Fire)
CLAY12,Centaurium tenuiflorum,15,5/21,"NS, LF, MJ, EP",2024 (After Fire)
CLAY12,Hordeum marinum,4,5/21,"NS, LF, MJ, EP",2024 (After Fire)
CLAY12,Madia sativa,1,5/21,"NS, LF, MJ, EP",2024 (After Fire)
CLAY12,Acmispon americanus,1,5/21,"NS, LF, MJ, EP",2024 (After Fire)
CLAY13,Festuca perennis,75,5/21,NS,2024 (After Fire)
CLAY13,Medicago polymorpha,10,5/21,NS,2024 (After Fire)
CLAY13,Madia sativa,2,5/21,NS,2024 (After Fire)
CLAY13,Centaurium tenuiflorum,1,5/21,NS,2024 (After Fire)
CLAY13,Plantago erecta,1,5/21,NS,2024 (After Fire)
CLAY13,Stebbinsoseris heterocarpa,1,5/21,NS,2024 (After Fire)
CLAY13,Melilotus indicus,15,5/21,NS,2024 (After Fire)
CLAY13,Acmispon americanus,1,5/21,NS,2024 (After Fire)
CLAY13,Stipa pulchra,1,5/21,NS,2024 (After Fire)
CLAY13,Bromus hordeaceus,3,5/21,NS,2024 (After Fire)
CLAY14,Melilotus indicus,7,5/21,NS,2024 (After Fire)
CLAY14,Festuca perennis,65,5/21,NS,2024 (After Fire)
CLAY14,Madia sativa,3,5/21,NS,2024 (After Fire)
CLAY14,Bareground,5,5/21,NS,2024 (After Fire)
CLAY14,Stipa pulchra,1,5/21,NS,2024 (After Fire)
CLAY14,Navarretia squarrosa,1,5/21,NS,2024 (After Fire)
CLAY14,Medicago polymorpha,15,5/21,NS,2024 (After Fire)
CLAY14,Erigeron canadensis,1,5/21,NS,2024 (After Fire)
CLAY14,Plantago erecta,1,5/21,NS,2024 (After Fire)
CLAY14,Deinandra fasciculata,1,5/21,NS,2024 (After Fire)
CLAY14,Symphyotrichum subulatum var. parviflorum,1,5/21,NS,2024 (After Fire)
CLAY14,Stebbinsoseris heterocarpa,1,5/21,NS,2024 (After Fire)
CLAY14,Bromus hordeaceus,5,5/21,NS,2024 (After Fire)
CLAY14,Acmispon americanus,1,5/21,NS,2024 (After Fire)
CLAY14,Plantago lanceolata,1,5/21,NS,2024 (After Fire)
CLAY14,Centaurium tenuiflorum,1,5/21,NS,2024 (After Fire)
CLAY15,Festuca perennis,35,5/24,NS,2024 (After Fire)
CLAY15,Melilotus indicus,25,5/24,NS,2024 (After Fire)
CLAY15,Bromus hordeaceus,1,5/24,NS,2024 (After Fire)
CLAY15,Lysimachia arvensis,1,5/24,NS,2024 (After Fire)
CLAY15,Symphyotrichum subulatum var. parviflorum,1,5/24,NS,2024 (After Fire)
CLAY15,Distichlis spicata,60,5/24,NS,2024 (After Fire)
CLAY15,Erigeron canadensis,1,5/24,NS,2024 (After Fire)
CLAY15,Baccharis pilularis,1,5/24,NS,2024 (After Fire)
CLAY15,Plantago erecta,1,5/24,NS,2024 (After Fire)
CLAY15,Sonchus sp.,1,5/24,NS,2024 (After Fire)
CLAY15,Bareground,1,5/24,NS,2024 (After Fire)
HBN1,Melilotus indicus,100,5/24,"NS, MJ, JM, EP",2024 (After Fire)
HBN1,Polypogon monspeliensis,1,5/24,"NS, MJ, JM, EP",2024 (After Fire)
HBN1,Stipa pulchra,10,5/24,"NS, MJ, JM, EP",2024 (After Fire)
HBN1,Festuca perennis,2,5/24,"NS, MJ, JM, EP",2024 (After Fire)
HBN1,Festuca myuros,5,5/24,"NS, MJ, JM, EP",2024 (After Fire)
HBN1,Medicago polymorpha,5,5/24,"NS, MJ, JM, EP",2024 (After Fire)
HBN2,Stipa pulchra,20,5/24,NS,2024 (After Fire)
HBN2,Hordeum marinum,2,5/24,NS,2024 (After Fire)
HBN2,Melilotus indicus,30,5/24,NS,2024 (After Fire)
HBN2,Festuca perennis,5,5/24,NS,2024 (After Fire)
HBN2,Helminthotheca echioides,1,5/24,NS,2024 (After Fire)
HBN2,Bareground,1,5/24,NS,2024 (After Fire)
HBN2,Medicago polymorpha,55,5/24,NS,2024 (After Fire)
HBN3,Medicago polymorpha,45,5/24,NS,2024 (After Fire)
HBN3,Bareground,10,5/24,NS,2024 (After Fire)
HBN3,Stipa pulchra,15,5/24,NS,2024 (After Fire)
HBN3,Hordeum marinum,1,5/24,NS,2024 (After Fire)
HBN3,Festuca perennis,30,5/24,NS,2024 (After Fire)
HBN3,Bromus hordeaceus,2,5/24,NS,2024 (After Fire)
HBN3,Ambrosia psilostachya,1,5/24,NS,2024 (After Fire)
HBN3,Erigeron canadensis,1,5/24,NS,2024 (After Fire)
HBN4,Festuca perennis,50,5/21,NS,2024 (After Fire)
HBN4,Helminthotheca echioides,1,5/21,NS,2024 (After Fire)
HBN4,Melilotus indicus,2,5/21,NS,2024 (After Fire)
HBN4,Bromus hordeaceus,1,5/21,NS,2024 (After Fire)
HBN4,Stipa pulchra,2,5/21,NS,2024 (After Fire)
HBN4,Medicago polymorpha,45,5/21,NS,2024 (After Fire)
HBN4,Polypogon monspeliensis,5,5/21,NS,2024 (After Fire)
HBN4,Bareground,1,5/21,NS,2024 (After Fire)
HBN4,Epilobium brachycarpum,1,5/21,NS,2024 (After Fire)
HBN4,Festuca myuros,2,5/21,NS,2024 (After Fire)
HBN5,Melilotus indicus,95,5/21,NS,2024 (After Fire)
HBN5,Festuca perennis,5,5/21,NS,2024 (After Fire)
HBN5,Festuca myuros,20,5/21,NS,2024 (After Fire)
HBN5,Stipa pulchra,5,5/21,NS,2024 (After Fire)
HBN6,Medicago polymorpha,85,5/21,NS,2024 (After Fire)
HBN6,Melilotus indicus,25,5/21,NS,2024 (After Fire)
HBN6,Festuca perennis,5,5/21,NS,2024 (After Fire)
HBN7,Helminthotheca echioides,6,5/21,NS,2024 (After Fire)
HBN7,Medicago lupulina,40,5/21,NS,2024 (After Fire)
HBN7,Medicago polymorpha,1,5/21,NS,2024 (After Fire)
HBN7,Bromus hordeaceus,15,5/21,NS,2024 (After Fire)
HBN7,Brachypodium distachyon,1,5/21,NS,2024 (After Fire)
HBN7,Festuca perennis,22,5/21,NS,2024 (After Fire)
HBN7,Stipa pulchra,7,5/21,NS,2024 (After Fire)
HBN7,Geranium dissectum,1,5/21,NS,2024 (After Fire)
HBN7,Erigeron canadensis,1,5/21,NS,2024 (After Fire)
HBN7,Bareground,10,5/21,NS,2024 (After Fire)
HBN8,Stipa pulchra,3,5/20,"NS, JM",2024 (After Fire)
HBN8,Juncus bufonius,2,5/20,"NS, JM",2024 (After Fire)
HBN8,Polypogon monspeliensis,40,5/20,"NS, JM",2024 (After Fire)
HBN8,Melilotus indicus,4,5/20,"NS, JM",2024 (After Fire)
HBN8,Erigeron canadensis,1,5/20,"NS, JM",2024 (After Fire)
HBN8,Symphyotrichum subulatum var. parviflorum,1,5/20,"NS, JM",2024 (After Fire)
HBN8,Festuca perennis,45,5/20,"NS, JM",2024 (After Fire)
HBN8,Festuca myuros,4,5/20,"NS, JM",2024 (After Fire)
HBN8,Baccharis pilularis,1,5/20,"NS, JM",2024 (After Fire)
HBN8,Trifolium tomentosum,1,5/20,"NS, JM",2024 (After Fire)
HBN8,Epilobium brachycarpum,1,5/20,"NS, JM",2024 (After Fire)
HBN8,Bromus hordeaceus,1,5/20,"NS, JM",2024 (After Fire)
HBN8,Bareground,8,5/20,"NS, JM",2024 (After Fire)
HBNN1,Melilotus indicus,100,5/24,"NS, MJ, JM, EP",2024 (After Fire)
HBNN1,Polypogon monspeliensis,1,5/24,"NS, MJ, JM, EP",2024 (After Fire)
HBNN1,Festuca perennis,25,5/24,"NS, MJ, JM, EP",2024 (After Fire)
HBNN1,Medicago polymorpha,5,5/24,"NS, MJ, JM, EP",2024 (After Fire)
HBNN1,Festuca myuros,5,5/24,"NS, MJ, JM, EP",2024 (After Fire)
HBNN1,Symphyotrichum subulatum var. parviflorum,1,5/24,"NS, MJ, JM, EP",2024 (After Fire)
HBNN2,Melilotus indicus,95,5/24,NS,2024 (After Fire)
HBNN2,Medicago polymorpha,15,5/24,NS,2024 (After Fire)
HBNN2,Festuca perennis,2,5/24,NS,2024 (After Fire)
HBNN3,Polypogon monspeliensis,15,5/24,"NS, MJ, JM, EP",2024 (After Fire)
HBNN3,Melilotus indicus,45,5/24,"NS, MJ, JM, EP",2024 (After Fire)
HBNN3,Centaurium tenuiflorum,1,5/24,"NS, MJ, JM, EP",2024 (After Fire)
HBNN3,Medicago polymorpha,40,5/24,"NS, MJ, JM, EP",2024 (After Fire)
HBNN3,Helminthotheca echioides,1,5/24,"NS, MJ, JM, EP",2024 (After Fire)
HBNN3,Festuca myuros,5,5/24,"NS, MJ, JM, EP",2024 (After Fire)
HBNN3,Stipa pulchra,3,5/24,"NS, MJ, JM, EP",2024 (After Fire)
HBNN3,Bromus hordeaceus,2,5/24,"NS, MJ, JM, EP",2024 (After Fire)
HBNN3,Festuca perennis,8,5/24,"NS, MJ, JM, EP",2024 (After Fire)
HBNN3,Lysimachia arvensis,1,5/24,"NS, MJ, JM, EP",2024 (After Fire)
HBNN4,Festuca perennis,35,5/21,NS,2024 (After Fire)
HBNN4,Bromus hordeaceus,25,5/21,NS,2024 (After Fire)
HBNN4,Bareground,2,5/21,NS,2024 (After Fire)
HBNN4,Polypogon monspeliensis,3,5/21,NS,2024 (After Fire)
HBNN4,Melilotus indicus,7,5/21,NS,2024 (After Fire)
HBNN4,Trifolium tomentosum,5,5/21,NS,2024 (After Fire)
HBNN4,Medicago polymorpha,33,5/21,NS,2024 (After Fire)
HBNN4,Helminthotheca echioides,2,5/21,NS,2024 (After Fire)
HBNN4,Stipa pulchra,2,5/21,NS,2024 (After Fire)
HBNN4,Lysimachia arvensis,1,5/21,NS,2024 (After Fire)
HBNN5,Polypogon monspeliensis,15,5/21,NS,2024 (After Fire)
HBNN5,Medicago polymorpha,30,5/21,NS,2024 (After Fire)
HBNN5,Festuca myuros,50,5/21,NS,2024 (After Fire)
HBNN5,Stipa pulchra,1,5/21,NS,2024 (After Fire)
HBNN5,Melilotus indicus,5,5/21,NS,2024 (After Fire)
