Plot Name,Plot Type,Dominant Cover,Bulb Treatment,species/cover,%cover,Date ,Year
CLAY11,Seeding,NA,NA,Bromus hordeaceus,55,,2023 (Before Fire)
CLAY11,Seeding,NA,NA,Festuca perennis,20,,2023 (Before Fire)
CLAY11,Seeding,NA,NA,Bareground,1,,2023 (Before Fire)
CLAY12,Seeding,NA,NA,Centaurium tenuiflorum,1,,2023 (Before Fire)
CLAY12,Seeding,NA,NA,Hordeum marinum,38,,2023 (Before Fire)
CLAY12,Seeding,NA,NA,Melilotus indicus,5,,2023 (Before Fire)
CLAY12,Seeding,NA,NA,Stipa pulchra,2,,2023 (Before Fire)
CLAY12,Seeding,NA,NA,Festuca perennis,28,,2023 (Before Fire)
CLAY12,Seeding,NA,NA,Deinandra fasciculata,4,,2023 (Before Fire)
CLAY12,Seeding,NA,NA,Bromus hordeaceus,24,,2023 (Before Fire)
CLAY13,Seeding,NA,NA,Bromus hordeaceus,48,,2023 (Before Fire)
CLAY13,Seeding,NA,NA,Festuca perennis,48,,2023 (Before Fire)
CLAY13,Seeding,NA,NA,Plantago lanceolata,2,,2023 (Before Fire)
CLAY13,Seeding,NA,NA,Erigeron canadensis,2,,2023 (Before Fire)
CLAY13,Seeding,NA,NA,Centaurium tenuiflorum,1,,2023 (Before Fire)
CLAY13,Seeding,NA,NA,Brachypodium distachyon,1,,2023 (Before Fire)
CLAY14,Seeding,NA,NA,Stipa pulchra,60,,2023 (Before Fire)
CLAY14,Seeding,NA,NA,Plantago lanceolata,5,,2023 (Before Fire)
CLAY14,Seeding,NA,NA,Festuca perennis,35,,2023 (Before Fire)
CLAY15,Seeding,NA,NA,Distichlis spicata,95,,2023 (Before Fire)
CLAY15,Seeding,NA,NA,Festuca perennis,5,,2023 (Before Fire)
CLAY15,Seeding,NA,NA,Brachypodium distachyon,2,,2023 (Before Fire)
CLAY15,Seeding,NA,NA,Bromus hordeaceus,1,,2023 (Before Fire)
CLAY2,Seeding,NA,NA,Festuca perennis,45,,2023 (Before Fire)
CLAY2,Seeding,NA,NA,Bromus hordeaceus,15,,2023 (Before Fire)
CLAY2,Seeding,NA,NA,Polypogon monspeliensis,27,,2023 (Before Fire)
CLAY2,Seeding,NA,NA,Trifolium sp. ,10,,2023 (Before Fire)
CLAY2,Seeding,NA,NA,Juncus bufonius,1,,2023 (Before Fire)
CLAY2,Seeding,NA,NA,Stipa pulchra,3,,2023 (Before Fire)
CLAY2,Seeding,NA,NA,Bareground,1,,2023 (Before Fire)
CLAY3,Seeding,NA,NA,Festuca perennis,98,,2023 (Before Fire)
CLAY3,Seeding,NA,NA,Stipa pulchra,2,,2023 (Before Fire)
CLAY4,Seeding,NA,NA,Trifolium sp. ,23,,2023 (Before Fire)
CLAY4,Seeding,NA,NA,Festuca perennis,45,,2023 (Before Fire)
CLAY4,Seeding,NA,NA,Deinandra fasciculata,5,,2023 (Before Fire)
CLAY4,Seeding,NA,NA,Polypogon monspeliensis,20,,2023 (Before Fire)
CLAY4,Seeding,NA,NA,Juncus bufonius,2,,2023 (Before Fire)
CLAY4,Seeding,NA,NA,Plantago coronopus,1,,2023 (Before Fire)
CLAY4,Seeding,NA,NA,Bromus hordeaceus,2,,2023 (Before Fire)
CLAY4,Seeding,NA,NA,Bareground,1,,2023 (Before Fire)
CLAY4,Seeding,NA,NA,Stipa pulchra,2,,2023 (Before Fire)
CLAY4,Seeding,NA,NA,Medicago polymorpha,1,,2023 (Before Fire)
CLAY4,Seeding,NA,NA,Thatch,1,,2023 (Before Fire)
CLAY5,Seeding,NA,NA,Stipa pulchra,25,,2023 (Before Fire)
CLAY5,Seeding,NA,NA,Festuca perennis,48,,2023 (Before Fire)
CLAY5,Seeding,NA,NA,Polypogon monspeliensis,3,,2023 (Before Fire)
CLAY5,Seeding,NA,NA,Juncus bufonius,6,,2023 (Before Fire)
CLAY5,Seeding,NA,NA,Symphyotrichum subulatum var. parviflorum,1,,2023 (Before Fire)
CLAY5,Seeding,NA,NA,Bromus hordeaceus,5,,2023 (Before Fire)
CLAY5,Seeding,NA,NA,Plantago coronopus,1,,2023 (Before Fire)
CLAY5,Seeding,NA,NA,Deinandra fasciculata,1,,2023 (Before Fire)
CLAY5,Seeding,NA,NA,Bareground,10,,2023 (Before Fire)
CLAY5,Seeding,NA,NA,Melilotus indicus,1,,2023 (Before Fire)
CLAY5,Seeding,NA,NA,Trifolium sp. ,1,,2023 (Before Fire)
CLAY6,Seeding,NA,NA,Juncus bufonius,1,,2023 (Before Fire)
CLAY6,Seeding,NA,NA,Festuca perennis,90,,2023 (Before Fire)
CLAY6,Seeding,NA,NA,Polypogon monspeliensis,5,,2023 (Before Fire)
CLAY6,Seeding,NA,NA,Bromus hordeaceus,3,,2023 (Before Fire)
CLAY6,Seeding,NA,NA,Melilotus indicus,2,,2023 (Before Fire)
CLAY6,Seeding,NA,NA,Centaurium tenuiflorum,1,,2023 (Before Fire)
CLAY6,Seeding,NA,NA,Stipa pulchra,1,,2023 (Before Fire)
CLAY7,Seeding,NA,NA,Stipa pulchra,40,,2023 (Before Fire)
CLAY7,Seeding,NA,NA,Centaurium tenuiflorum,1,,2023 (Before Fire)
CLAY7,Seeding,NA,NA,Brachypodium distachyon,10,,2023 (Before Fire)
CLAY7,Seeding,NA,NA,Lysimachia arvensis,1,,2023 (Before Fire)
CLAY7,Seeding,NA,NA,Bromus hordeaceus,50,,2023 (Before Fire)
CLAY7,Seeding,NA,NA,Melilotus indicus,1,,2023 (Before Fire)
CLAY8,Seeding,NA,NA,Melilotus indicus,1,,2023 (Before Fire)
CLAY8,Seeding,NA,NA,Festuca perennis,100,,2023 (Before Fire)
CLAY8,Seeding,NA,NA,Stipa pulchra,1,,2023 (Before Fire)
CLAY9,Seeding,NA,NA,Stipa pulchra,29,,2023 (Before Fire)
CLAY9,Seeding,NA,NA,Melilotus indicus,20,,2023 (Before Fire)
CLAY9,Seeding,NA,NA,Bromus hordeaceus,30,,2023 (Before Fire)
CLAY9,Seeding,NA,NA,Festuca perennis,15,,2023 (Before Fire)
CLAY9,Seeding,NA,NA,Epilobium brachycarpum,1,,2023 (Before Fire)
CLAY9,Seeding,NA,NA,Brachypodium distachyon,1,,2023 (Before Fire)
CLAY9,Seeding,NA,NA,Bareground,6,,2023 (Before Fire)
HBN1,Grass Cover,Native,High Effort,Bareground,10,7/28,2023 (Before Fire)
HBN1,Grass Cover,Native,High Effort,Stipa pulchra,55,,2023 (Before Fire)
HBN1,Grass Cover,Native,High Effort,Erigeron canadensis,1,,2023 (Before Fire)
HBN1,Grass Cover,Native,High Effort,Symphyotrichum subulatum var. parviflorum,1,,2023 (Before Fire)
HBN1,Grass Cover,Native,High Effort,Centaurium tenuiflorum,1,,2023 (Before Fire)
HBN1,Grass Cover,Native,High Effort,Sisyrinchium bellum,1,,2023 (Before Fire)
HBN1,Grass Cover,Native,High Effort,Polypogon monspeliensis,1,,2023 (Before Fire)
HBN1,Grass Cover,Native,High Effort,Festuca perennis,35,,2023 (Before Fire)
HBN1,Grass Cover,Native,High Effort,Sonchus sp.,1,,2023 (Before Fire)
HBN1,Grass Cover,Native,High Effort,Bromus hordeaceus,1,,2023 (Before Fire)
HBN2,Grass Cover,Native,High Effort,Bareground,46,,2023 (Before Fire)
HBN2,Grass Cover,Native,High Effort,Stipa pulchra,45,,2023 (Before Fire)
HBN2,Grass Cover,Native,High Effort,Sonchus sp.,1,,2023 (Before Fire)
HBN2,Grass Cover,Native,High Effort,Medicago polymorpha,2,,2023 (Before Fire)
HBN2,Grass Cover,Native,High Effort,Brachypodium distachyon,1,,2023 (Before Fire)
HBN2,Grass Cover,Native,High Effort,Hordeum marinum,3,,2023 (Before Fire)
HBN2,Grass Cover,Native,High Effort,Festuca perennis,1,,2023 (Before Fire)
HBN2,Grass Cover,Native,High Effort,Bromus hordeaceus,4,,2023 (Before Fire)
HBN3,Grass Cover,Native,High Effort,Bareground,3,,2023 (Before Fire)
HBN3,Grass Cover,Native,High Effort,Stipa pulchra,70,,2023 (Before Fire)
HBN3,Grass Cover,Native,High Effort,Ambrosia psilostachya,1,,2023 (Before Fire)
HBN3,Grass Cover,Native,High Effort,Hordeum marinum,20,,2023 (Before Fire)
HBN3,Grass Cover,Native,High Effort,Brachypodium distachyon,1,,2023 (Before Fire)
HBN3,Grass Cover,Native,High Effort,Bromus hordeaceus,1,,2023 (Before Fire)
HBN3,Grass Cover,Native,High Effort,Medicago polymorpha,3,,2023 (Before Fire)
HBN3,Grass Cover,Native,High Effort,Festuca perennis,2,,2023 (Before Fire)
HBN4,Grass Cover,Native,High Effort,Bareground,5,,2023 (Before Fire)
HBN4,Grass Cover,Native,High Effort,Stipa pulchra,90,,2023 (Before Fire)
HBN4,Grass Cover,Native,High Effort,Symphyotrichum subulatum var. parviflorum,1,,2023 (Before Fire)
HBN4,Grass Cover,Native,High Effort,Bromus hordeaceus,2,,2023 (Before Fire)
HBN4,Grass Cover,Native,High Effort,Festuca perennis,2,,2023 (Before Fire)
HBN5,Grass Cover,Native,High Effort,Bareground,7,,2023 (Before Fire)
HBN5,Grass Cover,Native,High Effort,Symphyotrichum subulatum var. parviflorum,3,,2023 (Before Fire)
HBN5,Grass Cover,Native,High Effort,Erigeron canadensis,1,,2023 (Before Fire)
HBN5,Grass Cover,Native,High Effort,Stipa pulchra,85,,2023 (Before Fire)
HBN5,Grass Cover,Native,High Effort,Festuca perennis,5,,2023 (Before Fire)
HBN5,Grass Cover,Native,High Effort,Bromus hordeaceus,1,,2023 (Before Fire)
HBN5,Grass Cover,Native,High Effort,Medicago polymorpha,1,,2023 (Before Fire)
HBN6,Grass Cover,Native,High Effort,Bareground,20,,2023 (Before Fire)
HBN6,Grass Cover,Native,High Effort,Stipa pulchra,74,,2023 (Before Fire)
HBN6,Grass Cover,Native,High Effort,Symphyotrichum subulatum var. parviflorum,1,,2023 (Before Fire)
HBN6,Grass Cover,Native,High Effort,Centaurium tenuiflorum,1,,2023 (Before Fire)
HBN6,Grass Cover,Native,High Effort,Bromus hordeaceus,1,,2023 (Before Fire)
HBN6,Grass Cover,Native,High Effort,Medicago polymorpha,2,,2023 (Before Fire)
HBN6,Grass Cover,Native,High Effort,Festuca perennis,4,,2023 (Before Fire)
HBN6,Grass Cover,Native,High Effort,Brachypodium distachyon,1,,2023 (Before Fire)
HBN6,Grass Cover,Native,High Effort,Lysimachia arvensis,1,,2023 (Before Fire)
HBN7,Grass Cover,Native,High Effort,Stipa pulchra,98,,2023 (Before Fire)
HBN7,Grass Cover,Native,High Effort,Sonchus sp.,1,,2023 (Before Fire)
HBN7,Grass Cover,Native,High Effort,Festuca perennis,2,,2023 (Before Fire)
HBN7,Grass Cover,Native,High Effort,Brachypodium distachyon,1,,2023 (Before Fire)
HBN8,Grass Cover,Native,High Effort,Stipa pulchra,60,,2023 (Before Fire)
HBN8,Grass Cover,Native,High Effort,Festuca perennis,40,,2023 (Before Fire)
HBN8,Grass Cover,Native,High Effort,Polypogon monspeliensis,1,,2023 (Before Fire)
HBN8,Grass Cover,Native,High Effort,Trifolium sp. ,1,,2023 (Before Fire)
HBN8,Grass Cover,Native,High Effort,Medicago polymorpha,1,,2023 (Before Fire)
HBN8,Grass Cover,Native,High Effort,Festuca myuros,1,,2023 (Before Fire)
HBNN1,Grass Cover,Nonnative,High Effort,Stipa pulchra,1,,2023 (Before Fire)
HBNN1,Grass Cover,Nonnative,High Effort,Festuca perennis,100,,2023 (Before Fire)
HBNN2,Grass Cover,Nonnative,High Effort,Bareground,1,,2023 (Before Fire)
HBNN2,Grass Cover,Nonnative,High Effort,Stipa pulchra,10,,2023 (Before Fire)
HBNN2,Grass Cover,Nonnative,High Effort,Festuca perennis,45,,2023 (Before Fire)
HBNN2,Grass Cover,Nonnative,High Effort,Melilotus indicus,40,,2023 (Before Fire)
HBNN2,Grass Cover,Nonnative,High Effort,Bromus hordeaceus,3,,2023 (Before Fire)
HBNN2,Grass Cover,Nonnative,High Effort,Medicago polymorpha,1,,2023 (Before Fire)
HBNN3,Grass Cover,Nonnative,High Effort,Bareground,1,,2023 (Before Fire)
HBNN3,Grass Cover,Nonnative,High Effort,Stipa pulchra,1,,2023 (Before Fire)
HBNN3,Grass Cover,Nonnative,High Effort,Festuca perennis,98,,2023 (Before Fire)
HBNN3,Grass Cover,Nonnative,High Effort,Polypogon monspeliensis,1,,2023 (Before Fire)
HBNN3,Grass Cover,Nonnative,High Effort,Bromus hordeaceus,1,,2023 (Before Fire)
HBNN4,Grass Cover,Nonnative,High Effort,Stipa pulchra,5,,2023 (Before Fire)
HBNN4,Grass Cover,Nonnative,High Effort,Bromus hordeaceus,85,,2023 (Before Fire)
HBNN4,Grass Cover,Nonnative,High Effort,Festuca perennis,10,,2023 (Before Fire)
HBNN5,Grass Cover,Nonnative,High Effort,Bareground,1,,2023 (Before Fire)
HBNN5,Grass Cover,Nonnative,High Effort,Stipa pulchra,5,,2023 (Before Fire)
HBNN5,Grass Cover,Nonnative,High Effort,Melilotus indicus,1,,2023 (Before Fire)
HBNN5,Grass Cover,Nonnative,High Effort,Helminthotheca echioides,1,,2023 (Before Fire)
HBNN5,Grass Cover,Nonnative,High Effort,Medicago polymorpha,1,,2023 (Before Fire)
HBNN5,Grass Cover,Nonnative,High Effort,Festuca perennis,1,,2023 (Before Fire)
HBNN5,Grass Cover,Nonnative,High Effort,Bromus hordeaceus,90,,2023 (Before Fire)
HBNN6,Grass Cover,Nonnative,High Effort,Bareground,2,,2023 (Before Fire)
HBNN6,Grass Cover,Nonnative,High Effort,Stipa pulchra,3,,2023 (Before Fire)
HBNN6,Grass Cover,Nonnative,High Effort,Festuca perennis,95,,2023 (Before Fire)
HBNN6,Grass Cover,Nonnative,High Effort,Avena fatua,1,,2023 (Before Fire)
HBNN7,Grass Cover,Nonnative,High Effort,Bareground,5,,2023 (Before Fire)
HBNN7,Grass Cover,Nonnative,High Effort,Stipa pulchra,1,,2023 (Before Fire)
HBNN7,Grass Cover,Nonnative,High Effort,Festuca perennis,95,,2023 (Before Fire)
HBNN7,Grass Cover,Nonnative,High Effort,Polypogon monspeliensis,1,,2023 (Before Fire)
HBNN7,Grass Cover,Nonnative,High Effort,Bromus hordeaceus,1,,2023 (Before Fire)
HBNN8,Grass Cover,Nonnative,High Effort,Bareground,25,,2023 (Before Fire)
HBNN8,Grass Cover,Nonnative,High Effort,Deinandra fasciculata,1,,2023 (Before Fire)
HBNN8,Grass Cover,Nonnative,High Effort,Stipa pulchra,1,,2023 (Before Fire)
HBNN8,Grass Cover,Nonnative,High Effort,Bromus hordeaceus,73,,2023 (Before Fire)
HBNN8,Grass Cover,Nonnative,High Effort,Festuca perennis,2,,2023 (Before Fire)
HBNN8,Grass Cover,Nonnative,High Effort,Polypogon monspeliensis,1,,2023 (Before Fire)
HBNN8,Grass Cover,Nonnative,High Effort,Plantago lanceolata,1,,2023 (Before Fire)
LBN1,Grass Cover,Native,Low Effort,Symphyotrichum subulatum var. parviflorum,1,,2023 (Before Fire)
LBN1,Grass Cover,Native,Low Effort,Deinandra fasciculata,1,,2023 (Before Fire)
LBN1,Grass Cover,Native,Low Effort,Stipa pulchra,78,,2023 (Before Fire)
LBN1,Grass Cover,Native,Low Effort,Bromus hordeaceus,2,,2023 (Before Fire)
LBN1,Grass Cover,Native,Low Effort,Medicago polymorpha,1,,2023 (Before Fire)
LBN1,Grass Cover,Native,Low Effort,Festuca perennis,1,,2023 (Before Fire)
LBN1,Grass Cover,Native,Low Effort,Bareground,20,,2023 (Before Fire)
LBN2,Grass Cover,Native,Low Effort,Stipa pulchra,100,,2023 (Before Fire)
LBN2,Grass Cover,Native,Low Effort,Festuca perennis,1,,2023 (Before Fire)
LBN3,Grass Cover,Native,Low Effort,Stipa pulchra,100,,2023 (Before Fire)
LBN3,Grass Cover,Native,Low Effort,Festuca perennis,1,,2023 (Before Fire)
LBN4,Grass Cover,Native,Low Effort,Bareground,2,,2023 (Before Fire)
LBN4,Grass Cover,Native,Low Effort,Stipa pulchra,92,,2023 (Before Fire)
LBN4,Grass Cover,Native,Low Effort,Erigeron canadensis,1,,2023 (Before Fire)
LBN4,Grass Cover,Native,Low Effort,Bromus hordeaceus,3,,2023 (Before Fire)
LBN4,Grass Cover,Native,Low Effort,Festuca perennis,3,,2023 (Before Fire)
LBN4,Grass Cover,Native,Low Effort,Brachypodium distachyon,1,,2023 (Before Fire)
LBN5,Grass Cover,Native,Low Effort,Bareground,4,,2023 (Before Fire)
LBN5,Grass Cover,Native,Low Effort,Stipa pulchra,95,,2023 (Before Fire)
LBN5,Grass Cover,Native,Low Effort,Erigeron canadensis,1,,2023 (Before Fire)
LBN5,Grass Cover,Native,Low Effort,Brachypodium distachyon,2,,2023 (Before Fire)
LBN5,Grass Cover,Native,Low Effort,Melilotus indicus,1,,2023 (Before Fire)
LBN5,Grass Cover,Native,Low Effort,Bromus hordeaceus,1,,2023 (Before Fire)
LBN5,Grass Cover,Native,Low Effort,Festuca perennis,1,,2023 (Before Fire)
LBN6,Grass Cover,Native,Low Effort,Bareground,30,,2023 (Before Fire)
LBN6,Grass Cover,Native,Low Effort,Stipa pulchra,65,,2023 (Before Fire)
LBN6,Grass Cover,Native,Low Effort,Erigeron canadensis,1,,2023 (Before Fire)
LBN6,Grass Cover,Native,Low Effort,Symphyotrichum subulatum var. parviflorum,1,,2023 (Before Fire)
LBN6,Grass Cover,Native,Low Effort,Helminthotheca echioides,1,,2023 (Before Fire)
LBN6,Grass Cover,Native,Low Effort,Polypogon monspeliensis,1,,2023 (Before Fire)
LBN6,Grass Cover,Native,Low Effort,Bromus hordeaceus,1,,2023 (Before Fire)
LBN6,Grass Cover,Native,Low Effort,Medicago polymorpha,1,,2023 (Before Fire)
LBN6,Grass Cover,Native,Low Effort,Melilotus indicus,1,,2023 (Before Fire)
LBN6,Grass Cover,Native,Low Effort,Festuca perennis,1,,2023 (Before Fire)
LBN7,Grass Cover,Native,Low Effort,Bareground,20,,2023 (Before Fire)
LBN7,Grass Cover,Native,Low Effort,Symphyotrichum subulatum var. parviflorum,1,,2023 (Before Fire)
LBN7,Grass Cover,Native,Low Effort,Stipa pulchra,75,,2023 (Before Fire)
LBN7,Grass Cover,Native,Low Effort,Melilotus indicus,2,,2023 (Before Fire)
LBN7,Grass Cover,Native,Low Effort,Festuca perennis,2,,2023 (Before Fire)
LBN7,Grass Cover,Native,Low Effort,Bromus hordeaceus,1,,2023 (Before Fire)
LBN8,Grass Cover,Native,Low Effort,Bareground,15,,2023 (Before Fire)
LBN8,Grass Cover,Native,Low Effort,Stipa pulchra,70,,2023 (Before Fire)
LBN8,Grass Cover,Native,Low Effort,Epilobium brachycarpum,1,,2023 (Before Fire)
LBN8,Grass Cover,Native,Low Effort,Erigeron canadensis,1,,2023 (Before Fire)
LBN8,Grass Cover,Native,Low Effort,Symphyotrichum subulatum var. parviflorum,1,,2023 (Before Fire)
LBN8,Grass Cover,Native,Low Effort,Medicago polymorpha,5,,2023 (Before Fire)
LBN8,Grass Cover,Native,Low Effort,Trifolium sp. ,10,,2023 (Before Fire)
LBN8,Grass Cover,Native,Low Effort,Polypogon monspeliensis,1,,2023 (Before Fire)
LBN8,Grass Cover,Native,Low Effort,Melilotus indicus,1,,2023 (Before Fire)
LBN8,Grass Cover,Native,Low Effort,Bromus hordeaceus,1,,2023 (Before Fire)
LBNN1,Grass Cover,Nonnative,Low Effort,Stipa pulchra,35,,2023 (Before Fire)
LBNN1,Grass Cover,Nonnative,Low Effort,Melilotus indicus,1,,2023 (Before Fire)
LBNN1,Grass Cover,Nonnative,Low Effort,Avena fatua,1,,2023 (Before Fire)
LBNN1,Grass Cover,Nonnative,Low Effort,Festuca perennis,65,,2023 (Before Fire)
LBNN2,Grass Cover,Nonnative,Low Effort,Stipa pulchra,1,,2023 (Before Fire)
LBNN2,Grass Cover,Nonnative,Low Effort,Festuca perennis,100,,2023 (Before Fire)
LBNN2,Grass Cover,Nonnative,Low Effort,Avena fatua,1,,2023 (Before Fire)
LBNN2,Grass Cover,Nonnative,Low Effort,Melilotus indicus,1,,2023 (Before Fire)
LBNN3,Grass Cover,Nonnative,Low Effort,Medicago polymorpha,1,,2023 (Before Fire)
LBNN3,Grass Cover,Nonnative,Low Effort,Festuca perennis,99,,2023 (Before Fire)
LBNN3,Grass Cover,Nonnative,Low Effort,Bromus hordeaceus,2,,2023 (Before Fire)
LBNN4,Grass Cover,Nonnative,Low Effort,Stipa pulchra,1,,2023 (Before Fire)
LBNN4,Grass Cover,Nonnative,Low Effort,Festuca perennis,95,,2023 (Before Fire)
LBNN4,Grass Cover,Nonnative,Low Effort,Bromus hordeaceus,5,,2023 (Before Fire)
LBNN4,Grass Cover,Nonnative,Low Effort,Vicia sp. ,1,,2023 (Before Fire)
LBNN4,Grass Cover,Nonnative,Low Effort,Medicago polymorpha,1,,2023 (Before Fire)
LBNN5,Grass Cover,Nonnative,Low Effort,Bareground,1,,2023 (Before Fire)
LBNN5,Grass Cover,Nonnative,Low Effort,Stipa pulchra,10,,2023 (Before Fire)
LBNN5,Grass Cover,Nonnative,Low Effort,Erigeron canadensis,1,,2023 (Before Fire)
LBNN5,Grass Cover,Nonnative,Low Effort,Melilotus indicus,1,,2023 (Before Fire)
LBNN5,Grass Cover,Nonnative,Low Effort,Festuca perennis,5,,2023 (Before Fire)
